Course_Code,Description,Time,Days,Room,Program,Year_Level,Trimester
CC1,Computing Fundamentals(Lec),10:10am-11:30am,TTH,M304,BSDA,First,First
CCS12,Graphics Design(Lab),10:10am-11:30am,MWF,M305,BMMA,Second,First
CCS12,Graphics Design(Lec),10:10am-11:30am,TTH,M301,BMMA,Second,First
CCS15,Game Theory(Lab),10:10am-11:30am,TTHS,M303,BSCS,Third,First
CCS6,Operating System,10:10am-11:30am,MWF,S312,BSCS,Third,First
CIT 9,Business Process Management,10:10am-11:30am,MWF,U705,BSDA,Second,First
CIT 9,Business Process Management,10:10am-11:30am,MWF,U705,BSIT(ERP),Second,First
CIT24,"Switching, Routing, and Wireless Essentials (Lab)",10:10am-11:30am,MWF,M307,BSIT(Netsec),Second,First
MCC2,Foundations of Drawing(Lab),10:10am-11:30am,MWF,M301,BMMA,First,First
PathFit4,Outdoor and Adventure Activities,10:10am-11:30am,MW ,Gym,BSCS,Second,First
PathFit4,Outdoor and Adventure Activities,10:10am-11:30am,TTH,Gym,BSIT(WebTech),Second,First
SocSci101N,Ethics,10:10am-11:30am,MWF,U402,BSIT(WebTech),Second,First
CC1,Computing Fundamentals(Lab),11:30am-12:50pm,MWF,M303,BSCS,First,First
CC1,Computing Fundamentals(Lec),11:30am-12:50pm,TTH,M304,BMMA,First,First
CC2,Introduction to Computer Programming(Lec),11:30am-12:50pm,TTH,M304,BSCS,First,First
CC7,Human Computer Interaction ,11:30am-12:50pm,MWF,M304,BSIT,First,First
CCS15,Game Theory(Lec),11:30am-12:50pm,TTH,S312,BSCS,Third,First
CDA 4,Programming for Data Analytics(Lab),11:30am-12:50pm,TTHS,M307,BSDA,Second,First
CIT1,Quantitative Analysis,11:30am-12:50pm,MWF,S122,BSIT(ERP),Second,First
CIT1,Quantitative Analysis,11:30am-12:50pm,TTHS,S321,BSIT(Netsec),Second,First
CIT12,ABAP Programming 2 (Lab),11:30am-12:50pm,TTHS,M307,BSIT(ERP),Third,First
CIT17,Web Information System(Lec),11:30am-12:50pm,TTH,S122,BSIT(WebTech),Third,First
CIT24,"Switching, Routing, and Wireless Essentials (Lec)",11:30am-12:50pm,TTH,M307,BSIT(WebTech),Second,First
CIT5,Accounting Essentials,11:30am-12:50pm,TTHS,S122,BSIT(ERP),Second,First
CIT5,Accounting Essentials,11:30am-12:50pm,MWF,S312,BSIT(Netsec),Second,First
Engl100,Purposive Communication,11:30am-12:50pm,MWF,U402,BSDA,First,First
Math100,Mathematics in the Modern World,11:30am-12:50pm,TTHS,U706,BSIT,First,First
MCC2,Foundations of Drawing(Lec),11:30am-12:50pm,MW,M301,BMMA,First,First
MMC3,3D Modelling and Scene Design(Lab),11:30am-12:50pm,MWF,M305,BMMA,Second,First
MMC3,3D Modelling and Scene Design(Lec),11:30am-12:50pm,TTH,M301,BMMA,Second,First
